State,UCIMove,Depth,Score
abc,qd2d4,3,20
def,qd2d4,3,20
ghi,ke1e2,4,20
lachkick,ke2e4,4,20
"bl{'bl': 3855, 'wh': 61680, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 16962}",ka2a3,4,-2
"wh{'bl': 2831, 'wh': 62688, 'q': 129, 'k': 33024, 'b': 8228, 'n': 7176, 'r': 16962}",kh2h3,3,-2
"wh{'bl': 3855, 'wh': 4223216, 'q': 129, 'k': 4194560, 'b': 9252, 'n': 6168, 'r': 16962}",kg3h3,3,-3
"wh{'bl': 3855, 'wh': 8417520, 'q': 129, 'k': 8388864, 'b': 9252, 'n': 6168, 'r': 16962}",kh3g4,3,-2
"wh{'bl': 3855, 'wh': 1102064, 'q': 129, 'k': 33024, 'b': 1049636, 'n': 6168, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 4247792, 'q': 129, 'k': 33024, 'b': 4195364, 'n': 6168, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 134271216, 'q': 129, 'k': 33024, 'b': 134218788, 'n': 6168, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 2147537136, 'q': 129, 'k': 33024, 'b': 2147484708, 'n': 6168, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 17179922672, 'q': 129, 'k': 33024, 'b': 17179870244, 'n': 6168, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 2199023309040, 'q': 129, 'k': 33024, 'b': 2199023256612, 'n': 6168, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 281474976764144, 'q': 129, 'k': 33024, 'b': 281474976711716, 'n': 6168, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 585952, 'q': 129, 'k': 33024, 'b': 9252, 'n': 530440, 'r': 16962}",kh2g3,2,9
"wh{'bl': 3855, 'wh': 2158816, 'q': 129, 'k': 33024, 'b': 9252, 'n': 2103304, 'r': 16962}",kh2g3,2,9
"wh{'bl': 3855, 'wh': 4251888, 'q': 129, 'k': 33024, 'b': 9252, 'n': 4196376, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 134275312, 'q': 129, 'k': 33024, 'b': 9252, 'n': 134219800, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 536928496, 'q': 129, 'k': 33024, 'b': 9252, 'n': 536872984, 'r': 16962}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 4239600, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 4194882}",kh2h3,3,-2
"wh{'bl': 3855, 'wh': 1073787120, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 1073742402}",kh2h3,3,-2
"wh{'bl': 3855, 'wh': 274877952240, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 274877907522}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 70368744222960, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 70368744178242}",ne1c2,2,9
"wh{'bl': 3855, 'wh': 18014398509527280, 'q': 129, 'k': 33024, 'b': 9252, 'n': 6168, 'r': 18014398509482562}",ne1c2,2,9
